%02.11.15 14:23:42
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	4.7264E+1	0.0000E+0	0.0000E+0	2.0469E+0	0.0000E+0
5.9499E+0	3.6832E+1	0.0000E+0	0.0000E+0	3.7031E+0	0.0000E+0
1.0900E+1	2.9255E+1	0.0000E+0	0.0000E+0	5.3437E+0	0.0000E+0
1.5850E+1	2.5261E+1	0.0000E+0	0.0000E+0	7.0000E+0	0.0000E+0
2.0800E+1	2.2170E+1	0.0000E+0	0.0000E+0	8.6719E+0	0.0000E+0
2.5743E+1	1.9789E+1	0.0000E+0	0.0000E+0	1.0328E+1	0.0000E+0
3.0704E+1	1.7687E+1	0.0000E+0	0.0000E+0	1.1984E+1	0.0000E+0
3.5645E+1	1.5915E+1	0.0000E+0	0.0000E+0	1.3641E+1	0.0000E+0
4.0606E+1	1.4398E+1	0.0000E+0	0.0000E+0	1.5297E+1	0.0000E+0
4.5552E+1	1.3257E+1	0.0000E+0	0.0000E+0	1.6953E+1	0.0000E+0
5.0512E+1	1.2275E+1	0.0000E+0	0.0000E+0	1.8609E+1	0.0000E+0
5.5454E+1	1.1573E+1	0.0000E+0	0.0000E+0	2.0266E+1	0.0000E+0
6.0397E+1	1.1096E+1	0.0000E+0	0.0000E+0	2.1937E+1	0.0000E+0
6.5359E+1	1.0769E+1	0.0000E+0	0.0000E+0	2.3594E+1	0.0000E+0
7.0304E+1	1.0587E+1	0.0000E+0	0.0000E+0	2.5250E+1	0.0000E+0
7.5263E+1	1.0489E+1	0.0000E+0	0.0000E+0	2.6906E+1	0.0000E+0
8.0202E+1	1.0427E+1	0.0000E+0	0.0000E+0	2.8562E+1	0.0000E+0
8.5159E+1	1.0389E+1	0.0000E+0	0.0000E+0	3.0219E+1	0.0000E+0
9.0100E+1	1.0359E+1	0.0000E+0	0.0000E+0	3.1875E+1	0.0000E+0
9.5058E+1	1.0373E+1	0.0000E+0	0.0000E+0	3.3531E+1	0.0000E+0
9.9997E+1	1.0299E+1	0.0000E+0	0.0000E+0	3.5203E+1	0.0000E+0
-1.1965E-5	2.1669E+1	0.0000E+0	0.0000E+0	4.6391E+1	0.0000E+0
