%02.11.15 14:20:05
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	0.0000E+0	4.2538E-6	2.5784E-6	9.2188E-1	0.0000E+0
5.9500E+0	0.0000E+0	1.0558E-5	7.1154E-6	3.3125E+0	0.0000E+0
1.0900E+1	0.0000E+0	1.4142E-5	8.9484E-6	4.9062E+0	0.0000E+0
1.5850E+1	0.0000E+0	1.6775E-5	1.0036E-5	6.5000E+0	0.0000E+0
2.0800E+1	0.0000E+0	1.8856E-5	1.0699E-5	8.0937E+0	0.0000E+0
2.5750E+1	0.0000E+0	2.0563E-5	1.1095E-5	9.6719E+0	0.0000E+0
3.0700E+1	0.0000E+0	2.1986E-5	1.1314E-5	1.1266E+1	0.0000E+0
3.5650E+1	0.0000E+0	2.3166E-5	1.1428E-5	1.2859E+1	0.0000E+0
4.0600E+1	0.0000E+0	2.4163E-5	1.1491E-5	1.4469E+1	0.0000E+0
4.5550E+1	0.0000E+0	2.4991E-5	1.1529E-5	1.6062E+1	0.0000E+0
5.0500E+1	0.0000E+0	2.5681E-5	1.1560E-5	1.7656E+1	0.0000E+0
5.5450E+1	0.0000E+0	2.6262E-5	1.1595E-5	1.9250E+1	0.0000E+0
6.0400E+1	0.0000E+0	2.6747E-5	1.1638E-5	2.0844E+1	0.0000E+0
6.5350E+1	0.0000E+0	2.7159E-5	1.1689E-5	2.2437E+1	0.0000E+0
7.0300E+1	0.0000E+0	2.7503E-5	1.1745E-5	2.4031E+1	0.0000E+0
7.5250E+1	0.0000E+0	2.7800E-5	1.1800E-5	2.5641E+1	0.0000E+0
8.0200E+1	0.0000E+0	2.8051E-5	1.1851E-5	2.7219E+1	0.0000E+0
8.5150E+1	0.0000E+0	2.8266E-5	1.1897E-5	2.8797E+1	0.0000E+0
9.0100E+1	0.0000E+0	2.8453E-5	1.1938E-5	3.0406E+1	0.0000E+0
9.5050E+1	0.0000E+0	2.8618E-5	1.1974E-5	3.1984E+1	0.0000E+0
1.0000E+2	0.0000E+0	2.8763E-5	1.2007E-5	3.3594E+1	0.0000E+0
0.0000E+0	0.0000E+0	-1.3489E-9	-1.2811E-9	4.4766E+1	0.0000E+0
