%02.11.15 14:17:50
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	0.0000E+0	3.5929E-6	2.6481E-6	9.2188E-1	0.0000E+0
5.9500E+0	0.0000E+0	1.0443E-5	7.1114E-6	3.3125E+0	0.0000E+0
1.0900E+1	0.0000E+0	1.3988E-5	8.9653E-6	4.9062E+0	0.0000E+0
1.5850E+1	0.0000E+0	1.6635E-5	1.0070E-5	6.5000E+0	0.0000E+0
2.0800E+1	0.0000E+0	1.8703E-5	1.0736E-5	8.0781E+0	0.0000E+0
2.5750E+1	0.0000E+0	2.0431E-5	1.1136E-5	9.6719E+0	0.0000E+0
3.0700E+1	0.0000E+0	2.1858E-5	1.1356E-5	1.1250E+1	0.0000E+0
3.5650E+1	0.0000E+0	2.3036E-5	1.1468E-5	1.2844E+1	0.0000E+0
4.0600E+1	0.0000E+0	2.4032E-5	1.1527E-5	1.4437E+1	0.0000E+0
4.5550E+1	0.0000E+0	2.4873E-5	1.1565E-5	1.6031E+1	0.0000E+0
5.0500E+1	0.0000E+0	2.5574E-5	1.1594E-5	1.7641E+1	0.0000E+0
5.5450E+1	0.0000E+0	2.6156E-5	1.1627E-5	1.9219E+1	0.0000E+0
6.0400E+1	0.0000E+0	2.6651E-5	1.1669E-5	2.0812E+1	0.0000E+0
6.5350E+1	0.0000E+0	2.7070E-5	1.1719E-5	2.2406E+1	0.0000E+0
7.0300E+1	0.0000E+0	2.7421E-5	1.1773E-5	2.4000E+1	0.0000E+0
7.5250E+1	0.0000E+0	2.7720E-5	1.1826E-5	2.5609E+1	0.0000E+0
8.0200E+1	0.0000E+0	2.7976E-5	1.1875E-5	2.7203E+1	0.0000E+0
8.5150E+1	0.0000E+0	2.8197E-5	1.1920E-5	2.8781E+1	0.0000E+0
9.0100E+1	0.0000E+0	2.8389E-5	1.1960E-5	3.0391E+1	0.0000E+0
9.5050E+1	0.0000E+0	2.8555E-5	1.1996E-5	3.1984E+1	0.0000E+0
1.0000E+2	0.0000E+0	2.8702E-5	1.2027E-5	3.3562E+1	0.0000E+0
0.0000E+0	0.0000E+0	-7.4013E-10	-7.1764E-10	4.4766E+1	0.0000E+0
