%02.11.15 14:45:47
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	0.0000E+0	1.1824E-9	-7.0299E-10	7.6563E-1	0.0000E+0
1.0950E+1	0.0000E+0	1.9414E-9	-1.6410E-9	4.2812E+0	0.0000E+0
2.0900E+1	0.0000E+0	3.0903E-9	-2.1216E-9	6.3906E+0	0.0000E+0
3.0850E+1	0.0000E+0	3.5861E-9	-2.4945E-9	9.9062E+0	0.0000E+0
4.0800E+1	0.0000E+0	3.7523E-9	-2.7998E-9	1.2016E+1	0.0000E+0
5.0750E+1	0.0000E+0	3.7903E-9	-3.0435E-9	1.4094E+1	0.0000E+0
6.0700E+1	0.0000E+0	4.5609E-9	-3.2772E-9	1.6203E+1	0.0000E+0
7.0650E+1	0.0000E+0	4.5720E-9	-3.4540E-9	1.8312E+1	0.0000E+0
8.0600E+1	0.0000E+0	4.7834E-9	-3.6319E-9	2.0391E+1	0.0000E+0
9.0550E+1	0.0000E+0	5.3327E-9	-3.7779E-9	2.2484E+1	0.0000E+0
1.0050E+2	0.0000E+0	5.9857E-9	-3.9286E-9	2.4578E+1	0.0000E+0
1.1045E+2	0.0000E+0	6.4897E-9	-4.0283E-9	2.6687E+1	0.0000E+0
1.2040E+2	0.0000E+0	6.1869E-9	-4.1095E-9	2.8781E+1	0.0000E+0
1.3035E+2	0.0000E+0	7.6208E-9	-4.1519E-9	3.0891E+1	0.0000E+0
1.4030E+2	0.0000E+0	6.5615E-9	-4.1689E-9	3.2984E+1	0.0000E+0
1.5025E+2	0.0000E+0	6.3491E-9	-4.1739E-9	3.5078E+1	0.0000E+0
1.6020E+2	0.0000E+0	5.9606E-9	-4.1867E-9	3.7187E+1	0.0000E+0
1.7015E+2	0.0000E+0	6.5349E-9	-4.1866E-9	3.9281E+1	0.0000E+0
1.8010E+2	0.0000E+0	6.6901E-9	-4.1950E-9	4.1391E+1	0.0000E+0
1.9005E+2	0.0000E+0	6.6745E-9	-4.1970E-9	4.3484E+1	0.0000E+0
2.0000E+2	0.0000E+0	6.4151E-9	-4.2038E-9	4.5578E+1	0.0000E+0
0.0000E+0	0.0000E+0	-7.7467E-10	-8.3234E-9	6.6687E+1	0.0000E+0
