%02.11.15 14:01:30
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	1.0224E+1	0.0000E+0	0.0000E+0	2.0156E+0	0.0000E+0
5.9497E+0	6.6696E+0	0.0000E+0	0.0000E+0	3.6719E+0	0.0000E+0
1.0900E+1	5.6361E+0	0.0000E+0	0.0000E+0	5.3437E+0	0.0000E+0
1.5849E+1	4.9987E+0	0.0000E+0	0.0000E+0	7.0000E+0	0.0000E+0
2.0800E+1	4.5400E+0	0.0000E+0	0.0000E+0	8.6562E+0	0.0000E+0
2.5729E+1	4.2827E+0	0.0000E+0	0.0000E+0	1.0312E+1	0.0000E+0
3.0692E+1	4.2281E+0	0.0000E+0	0.0000E+0	1.1953E+1	0.0000E+0
3.5630E+1	4.1226E+0	0.0000E+0	0.0000E+0	1.3609E+1	0.0000E+0
4.0595E+1	4.1054E+0	0.0000E+0	0.0000E+0	1.5266E+1	0.0000E+0
4.5537E+1	4.1291E+0	0.0000E+0	0.0000E+0	1.6937E+1	0.0000E+0
5.0501E+1	4.1113E+0	0.0000E+0	0.0000E+0	1.8594E+1	0.0000E+0
5.5442E+1	4.1436E+0	0.0000E+0	0.0000E+0	2.0250E+1	0.0000E+0
6.0385E+1	4.2277E+0	0.0000E+0	0.0000E+0	2.1891E+1	0.0000E+0
6.5348E+1	4.1038E+0	0.0000E+0	0.0000E+0	2.3562E+1	0.0000E+0
7.0291E+1	4.1137E+0	0.0000E+0	0.0000E+0	2.5203E+1	0.0000E+0
7.5252E+1	4.0722E+0	0.0000E+0	0.0000E+0	2.6875E+1	0.0000E+0
8.0191E+1	4.1172E+0	0.0000E+0	0.0000E+0	2.8531E+1	0.0000E+0
8.5147E+1	4.1200E+0	0.0000E+0	0.0000E+0	3.0187E+1	0.0000E+0
9.0088E+1	4.1453E+0	0.0000E+0	0.0000E+0	3.1844E+1	0.0000E+0
9.5047E+1	4.1241E+0	0.0000E+0	0.0000E+0	3.3500E+1	0.0000E+0
9.9986E+1	4.4053E+0	0.0000E+0	0.0000E+0	3.5156E+1	0.0000E+0
-2.3190E-5	1.0499E+1	0.0000E+0	0.0000E+0	4.6344E+1	0.0000E+0
