%02.11.15 14:42:53
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	1.4231E+1	0.0000E+0	0.0000E+0	2.0312E+0	0.0000E+0
1.0950E+1	1.0369E+1	0.0000E+0	0.0000E+0	4.1875E+0	0.0000E+0
2.0900E+1	8.7417E+0	0.0000E+0	0.0000E+0	6.3437E+0	0.0000E+0
3.0851E+1	7.8726E+0	0.0000E+0	0.0000E+0	8.5000E+0	0.0000E+0
4.0792E+1	7.2075E+0	0.0000E+0	0.0000E+0	1.0672E+1	0.0000E+0
5.0753E+1	6.7749E+0	0.0000E+0	0.0000E+0	1.2844E+1	0.0000E+0
6.0712E+1	6.4588E+0	0.0000E+0	0.0000E+0	1.5000E+1	0.0000E+0
7.0653E+1	6.1736E+0	0.0000E+0	0.0000E+0	1.7172E+1	0.0000E+0
8.0608E+1	5.9776E+0	0.0000E+0	0.0000E+0	1.9344E+1	0.0000E+0
9.0558E+1	5.8310E+0	0.0000E+0	0.0000E+0	2.1500E+1	0.0000E+0
1.0049E+2	5.7042E+0	0.0000E+0	0.0000E+0	2.3656E+1	0.0000E+0
1.1044E+2	5.6174E+0	0.0000E+0	0.0000E+0	2.5828E+1	0.0000E+0
1.2040E+2	5.5877E+0	0.0000E+0	0.0000E+0	2.7984E+1	0.0000E+0
1.3033E+2	5.6071E+0	0.0000E+0	0.0000E+0	3.0141E+1	0.0000E+0
1.4029E+2	5.6339E+0	0.0000E+0	0.0000E+0	3.2312E+1	0.0000E+0
1.5022E+2	5.6288E+0	0.0000E+0	0.0000E+0	3.4469E+1	0.0000E+0
1.6018E+2	5.6072E+0	0.0000E+0	0.0000E+0	3.6625E+1	0.0000E+0
1.7015E+2	5.6406E+0	0.0000E+0	0.0000E+0	3.8797E+1	0.0000E+0
1.8009E+2	5.6497E+0	0.0000E+0	0.0000E+0	4.0953E+1	0.0000E+0
1.9004E+2	5.6598E+0	0.0000E+0	0.0000E+0	4.3109E+1	0.0000E+0
2.0000E+2	5.6243E+0	0.0000E+0	0.0000E+0	4.5281E+1	0.0000E+0
-2.7364E-6	1.6510E+1	0.0000E+0	0.0000E+0	6.6437E+1	0.0000E+0
