%02.11.15 14:06:57
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	0.0000E+0	3.2788E-9	2.0973E-9	7.6563E-1	0.0000E+0
5.9500E+0	0.0000E+0	4.7205E-9	3.1640E-9	3.0625E+0	0.0000E+0
1.0900E+1	0.0000E+0	5.6474E-9	3.7595E-9	4.6719E+0	0.0000E+0
1.5850E+1	0.0000E+0	6.1718E-9	4.1553E-9	6.2812E+0	0.0000E+0
2.0800E+1	0.0000E+0	6.9236E-9	4.4505E-9	7.8906E+0	0.0000E+0
2.5750E+1	0.0000E+0	7.3919E-9	4.5820E-9	9.4844E+0	0.0000E+0
3.0700E+1	0.0000E+0	7.9943E-9	4.6422E-9	1.1094E+1	0.0000E+0
3.5650E+1	0.0000E+0	7.4468E-9	4.6622E-9	1.2687E+1	0.0000E+0
4.0600E+1	0.0000E+0	8.4536E-9	4.6866E-9	1.4281E+1	0.0000E+0
4.5550E+1	0.0000E+0	7.8835E-9	4.6722E-9	1.5891E+1	0.0000E+0
5.0500E+1	0.0000E+0	8.7091E-9	4.6936E-9	1.7484E+1	0.0000E+0
5.5450E+1	0.0000E+0	8.6678E-9	4.6740E-9	1.9078E+1	0.0000E+0
6.0400E+1	0.0000E+0	8.4873E-9	4.6741E-9	2.0687E+1	0.0000E+0
6.5350E+1	0.0000E+0	8.2189E-9	4.7148E-9	2.2297E+1	0.0000E+0
7.0300E+1	0.0000E+0	8.2760E-9	4.6832E-9	2.3875E+1	0.0000E+0
7.5250E+1	0.0000E+0	9.0333E-9	4.7032E-9	2.5469E+1	0.0000E+0
8.0200E+1	0.0000E+0	8.5829E-9	4.6879E-9	2.7078E+1	0.0000E+0
8.5150E+1	0.0000E+0	8.8040E-9	4.6878E-9	2.8672E+1	0.0000E+0
9.0100E+1	0.0000E+0	9.6970E-9	4.6907E-9	3.0281E+1	0.0000E+0
9.5050E+1	0.0000E+0	8.7471E-9	4.6964E-9	3.1875E+1	0.0000E+0
1.0000E+2	0.0000E+0	8.8251E-9	4.6871E-9	3.3469E+1	0.0000E+0
0.0000E+0	0.0000E+0	-9.0411E-11	-2.1941E-10	4.4594E+1	0.0000E+0
