%02.11.15 14:21:39
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	1.0809E+1	0.0000E+0	0.0000E+0	2.0469E+0	0.0000E+0
5.9499E+0	3.2207E+1	0.0000E+0	0.0000E+0	3.7031E+0	0.0000E+0
1.0900E+1	2.7408E+1	0.0000E+0	0.0000E+0	5.3594E+0	0.0000E+0
1.5850E+1	2.5115E+1	0.0000E+0	0.0000E+0	7.0156E+0	0.0000E+0
2.0800E+1	2.2094E+1	0.0000E+0	0.0000E+0	8.6719E+0	0.0000E+0
2.5743E+1	1.9628E+1	0.0000E+0	0.0000E+0	1.0328E+1	0.0000E+0
3.0704E+1	1.7517E+1	0.0000E+0	0.0000E+0	1.1984E+1	0.0000E+0
3.5645E+1	1.5839E+1	0.0000E+0	0.0000E+0	1.3656E+1	0.0000E+0
4.0607E+1	1.4297E+1	0.0000E+0	0.0000E+0	1.5297E+1	0.0000E+0
4.5550E+1	1.3120E+1	0.0000E+0	0.0000E+0	1.6953E+1	0.0000E+0
5.0512E+1	1.2219E+1	0.0000E+0	0.0000E+0	1.8609E+1	0.0000E+0
5.5453E+1	1.1529E+1	0.0000E+0	0.0000E+0	2.0266E+1	0.0000E+0
6.0399E+1	1.1049E+1	0.0000E+0	0.0000E+0	2.1922E+1	0.0000E+0
6.5359E+1	1.0822E+1	0.0000E+0	0.0000E+0	2.3578E+1	0.0000E+0
7.0303E+1	1.0581E+1	0.0000E+0	0.0000E+0	2.5234E+1	0.0000E+0
7.5263E+1	1.0430E+1	0.0000E+0	0.0000E+0	2.6906E+1	0.0000E+0
8.0200E+1	1.0417E+1	0.0000E+0	0.0000E+0	2.8562E+1	0.0000E+0
8.5160E+1	1.0383E+1	0.0000E+0	0.0000E+0	3.0219E+1	0.0000E+0
9.0097E+1	1.0389E+1	0.0000E+0	0.0000E+0	3.1875E+1	0.0000E+0
9.5057E+1	1.0393E+1	0.0000E+0	0.0000E+0	3.3531E+1	0.0000E+0
9.9998E+1	1.0359E+1	0.0000E+0	0.0000E+0	3.5187E+1	0.0000E+0
-7.9357E-6	3.8594E+1	0.0000E+0	0.0000E+0	4.6344E+1	0.0000E+0
