%02.11.15 14:22:46
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	4.0164E+1	0.0000E+0	0.0000E+0	2.0469E+0	0.0000E+0
5.9499E+0	3.6194E+1	0.0000E+0	0.0000E+0	3.7031E+0	0.0000E+0
1.0900E+1	2.9381E+1	0.0000E+0	0.0000E+0	5.3594E+0	0.0000E+0
1.5850E+1	2.5169E+1	0.0000E+0	0.0000E+0	7.0156E+0	0.0000E+0
2.0800E+1	2.2113E+1	0.0000E+0	0.0000E+0	8.6719E+0	0.0000E+0
2.5742E+1	1.9695E+1	0.0000E+0	0.0000E+0	1.0328E+1	0.0000E+0
3.0703E+1	1.7582E+1	0.0000E+0	0.0000E+0	1.1984E+1	0.0000E+0
3.5645E+1	1.5767E+1	0.0000E+0	0.0000E+0	1.3641E+1	0.0000E+0
4.0606E+1	1.4379E+1	0.0000E+0	0.0000E+0	1.5297E+1	0.0000E+0
4.5551E+1	1.3174E+1	0.0000E+0	0.0000E+0	1.6953E+1	0.0000E+0
5.0512E+1	1.2247E+1	0.0000E+0	0.0000E+0	1.8609E+1	0.0000E+0
5.5455E+1	1.1553E+1	0.0000E+0	0.0000E+0	2.0266E+1	0.0000E+0
6.0397E+1	1.1034E+1	0.0000E+0	0.0000E+0	2.1922E+1	0.0000E+0
6.5359E+1	1.0774E+1	0.0000E+0	0.0000E+0	2.3578E+1	0.0000E+0
7.0302E+1	1.0546E+1	0.0000E+0	0.0000E+0	2.5234E+1	0.0000E+0
7.5262E+1	1.0499E+1	0.0000E+0	0.0000E+0	2.6891E+1	0.0000E+0
8.0202E+1	1.0389E+1	0.0000E+0	0.0000E+0	2.8547E+1	0.0000E+0
8.5160E+1	1.0373E+1	0.0000E+0	0.0000E+0	3.0203E+1	0.0000E+0
9.0097E+1	1.0385E+1	0.0000E+0	0.0000E+0	3.1859E+1	0.0000E+0
9.5057E+1	1.0317E+1	0.0000E+0	0.0000E+0	3.3531E+1	0.0000E+0
9.9995E+1	1.0323E+1	0.0000E+0	0.0000E+0	3.5187E+1	0.0000E+0
-9.9920E-6	3.1061E+1	0.0000E+0	0.0000E+0	4.6344E+1	0.0000E+0
