%02.11.15 14:04:59
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	0.0000E+0	2.6887E-9	1.9477E-9	7.8125E-1	0.0000E+0
5.9500E+0	0.0000E+0	4.8466E-9	3.1655E-9	3.7969E+0	0.0000E+0
1.0900E+1	0.0000E+0	5.8548E-9	3.7047E-9	6.8125E+0	0.0000E+0
1.5850E+1	0.0000E+0	6.2829E-9	4.1656E-9	8.4219E+0	0.0000E+0
2.0800E+1	0.0000E+0	6.9388E-9	4.4558E-9	1.0016E+1	0.0000E+0
2.5750E+1	0.0000E+0	7.0674E-9	4.5749E-9	1.1625E+1	0.0000E+0
3.0700E+1	0.0000E+0	7.0673E-9	4.6411E-9	1.3219E+1	0.0000E+0
3.5650E+1	0.0000E+0	8.2641E-9	4.6559E-9	1.4812E+1	0.0000E+0
4.0600E+1	0.0000E+0	8.2310E-9	4.6767E-9	1.6406E+1	0.0000E+0
4.5550E+1	0.0000E+0	8.1641E-9	4.6733E-9	1.8000E+1	0.0000E+0
5.0500E+1	0.0000E+0	7.3319E-9	4.6843E-9	1.9594E+1	0.0000E+0
5.5450E+1	0.0000E+0	7.7725E-9	4.6870E-9	2.1187E+1	0.0000E+0
6.0400E+1	0.0000E+0	8.4356E-9	4.6816E-9	2.2797E+1	0.0000E+0
6.5350E+1	0.0000E+0	8.4280E-9	4.6823E-9	2.4391E+1	0.0000E+0
7.0300E+1	0.0000E+0	8.9221E-9	4.6888E-9	2.6000E+1	0.0000E+0
7.5250E+1	0.0000E+0	8.6407E-9	4.6872E-9	2.7594E+1	0.0000E+0
8.0200E+1	0.0000E+0	9.3195E-9	4.6907E-9	2.9187E+1	0.0000E+0
8.5150E+1	0.0000E+0	9.0680E-9	4.6889E-9	3.0797E+1	0.0000E+0
9.0100E+1	0.0000E+0	9.4645E-9	4.7027E-9	3.2391E+1	0.0000E+0
9.5050E+1	0.0000E+0	9.7616E-9	4.6971E-9	3.3984E+1	0.0000E+0
1.0000E+2	0.0000E+0	9.1348E-9	4.6962E-9	3.5578E+1	0.0000E+0
0.0000E+0	0.0000E+0	-9.5636E-11	-2.3156E-10	4.6703E+1	0.0000E+0
