%02.11.15 14:02:38
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	1.0494E+1	0.0000E+0	0.0000E+0	2.0469E+0	0.0000E+0
5.9497E+0	6.8114E+0	0.0000E+0	0.0000E+0	3.7031E+0	0.0000E+0
1.0900E+1	5.6742E+0	0.0000E+0	0.0000E+0	5.3594E+0	0.0000E+0
1.5849E+1	5.0347E+0	0.0000E+0	0.0000E+0	7.0156E+0	0.0000E+0
2.0800E+1	4.6241E+0	0.0000E+0	0.0000E+0	8.6719E+0	0.0000E+0
2.5733E+1	4.3410E+0	0.0000E+0	0.0000E+0	1.0344E+1	0.0000E+0
3.0691E+1	4.1946E+0	0.0000E+0	0.0000E+0	1.2000E+1	0.0000E+0
3.5634E+1	4.1831E+0	0.0000E+0	0.0000E+0	1.3641E+1	0.0000E+0
4.0596E+1	4.0996E+0	0.0000E+0	0.0000E+0	1.5297E+1	0.0000E+0
4.5539E+1	4.1342E+0	0.0000E+0	0.0000E+0	1.6953E+1	0.0000E+0
5.0501E+1	4.0951E+0	0.0000E+0	0.0000E+0	1.8609E+1	0.0000E+0
5.5444E+1	4.1039E+0	0.0000E+0	0.0000E+0	2.0266E+1	0.0000E+0
6.0386E+1	4.0679E+0	0.0000E+0	0.0000E+0	2.1922E+1	0.0000E+0
6.5349E+1	4.1022E+0	0.0000E+0	0.0000E+0	2.3594E+1	0.0000E+0
7.0293E+1	4.0797E+0	0.0000E+0	0.0000E+0	2.5250E+1	0.0000E+0
7.5253E+1	4.0956E+0	0.0000E+0	0.0000E+0	2.6906E+1	0.0000E+0
8.0192E+1	4.1083E+0	0.0000E+0	0.0000E+0	2.8562E+1	0.0000E+0
8.5148E+1	4.0894E+0	0.0000E+0	0.0000E+0	3.0219E+1	0.0000E+0
9.0087E+1	4.0601E+0	0.0000E+0	0.0000E+0	3.1891E+1	0.0000E+0
9.5047E+1	4.0786E+0	0.0000E+0	0.0000E+0	3.3547E+1	0.0000E+0
9.9986E+1	4.0880E+0	0.0000E+0	0.0000E+0	3.5203E+1	0.0000E+0
-2.1789E-5	1.0492E+1	0.0000E+0	0.0000E+0	4.6391E+1	0.0000E+0
