%02.11.15 14:19:04
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	0.0000E+0	1.0274E-6	8.2574E-7	7.8125E-1	0.0000E+0
5.9500E+0	0.0000E+0	1.0572E-5	7.0929E-6	3.2344E+0	0.0000E+0
1.0900E+1	0.0000E+0	1.4153E-5	8.9739E-6	6.2500E+0	0.0000E+0
1.5850E+1	0.0000E+0	1.6778E-5	1.0060E-5	7.8437E+0	0.0000E+0
2.0800E+1	0.0000E+0	1.8851E-5	1.0722E-5	9.4531E+0	0.0000E+0
2.5750E+1	0.0000E+0	2.0553E-5	1.1114E-5	1.1047E+1	0.0000E+0
3.0700E+1	0.0000E+0	2.1971E-5	1.1332E-5	1.2641E+1	0.0000E+0
3.5650E+1	0.0000E+0	2.3152E-5	1.1445E-5	1.4250E+1	0.0000E+0
4.0600E+1	0.0000E+0	2.4145E-5	1.1507E-5	1.5844E+1	0.0000E+0
4.5550E+1	0.0000E+0	2.4971E-5	1.1544E-5	1.7422E+1	0.0000E+0
5.0500E+1	0.0000E+0	2.5661E-5	1.1575E-5	1.9016E+1	0.0000E+0
5.5450E+1	0.0000E+0	2.6238E-5	1.1609E-5	2.0609E+1	0.0000E+0
6.0400E+1	0.0000E+0	2.6726E-5	1.1651E-5	2.2187E+1	0.0000E+0
6.5350E+1	0.0000E+0	2.7136E-5	1.1702E-5	2.3781E+1	0.0000E+0
7.0300E+1	0.0000E+0	2.7483E-5	1.1757E-5	2.5375E+1	0.0000E+0
7.5250E+1	0.0000E+0	2.7779E-5	1.1812E-5	2.6969E+1	0.0000E+0
8.0200E+1	0.0000E+0	2.8029E-5	1.1862E-5	2.8562E+1	0.0000E+0
8.5150E+1	0.0000E+0	2.8247E-5	1.1907E-5	3.0156E+1	0.0000E+0
9.0100E+1	0.0000E+0	2.8435E-5	1.1948E-5	3.1734E+1	0.0000E+0
9.5050E+1	0.0000E+0	2.8599E-5	1.1984E-5	3.3344E+1	0.0000E+0
1.0000E+2	0.0000E+0	2.8747E-5	1.2016E-5	3.4922E+1	0.0000E+0
0.0000E+0	0.0000E+0	-8.1461E-10	-7.8589E-10	4.6125E+1	0.0000E+0
