%02.11.15 14:40:24
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	1.3340E+1	0.0000E+0	0.0000E+0	2.0469E+0	0.0000E+0
1.0950E+1	9.2616E+0	0.0000E+0	0.0000E+0	4.2031E+0	0.0000E+0
2.0900E+1	7.8065E+0	0.0000E+0	0.0000E+0	6.3750E+0	0.0000E+0
3.0853E+1	6.9811E+0	0.0000E+0	0.0000E+0	8.5469E+0	0.0000E+0
4.0792E+1	6.4208E+0	0.0000E+0	0.0000E+0	1.0703E+1	0.0000E+0
5.0754E+1	6.0350E+0	0.0000E+0	0.0000E+0	1.2859E+1	0.0000E+0
6.0712E+1	5.7225E+0	0.0000E+0	0.0000E+0	1.5016E+1	0.0000E+0
7.0655E+1	5.4704E+0	0.0000E+0	0.0000E+0	1.7187E+1	0.0000E+0
8.0607E+1	5.2812E+0	0.0000E+0	0.0000E+0	1.9344E+1	0.0000E+0
9.0560E+1	5.1419E+0	0.0000E+0	0.0000E+0	2.1516E+1	0.0000E+0
1.0050E+2	5.0048E+0	0.0000E+0	0.0000E+0	2.3672E+1	0.0000E+0
1.1044E+2	4.9362E+0	0.0000E+0	0.0000E+0	2.5844E+1	0.0000E+0
1.2040E+2	4.8900E+0	0.0000E+0	0.0000E+0	2.8000E+1	0.0000E+0
1.3033E+2	4.8536E+0	0.0000E+0	0.0000E+0	3.0156E+1	0.0000E+0
1.4028E+2	4.8544E+0	0.0000E+0	0.0000E+0	3.2328E+1	0.0000E+0
1.5022E+2	4.8531E+0	0.0000E+0	0.0000E+0	3.4484E+1	0.0000E+0
1.6018E+2	4.8179E+0	0.0000E+0	0.0000E+0	3.6656E+1	0.0000E+0
1.7014E+2	4.8041E+0	0.0000E+0	0.0000E+0	3.8812E+1	0.0000E+0
1.8009E+2	4.8064E+0	0.0000E+0	0.0000E+0	4.0984E+1	0.0000E+0
1.9005E+2	4.8072E+0	0.0000E+0	0.0000E+0	4.3141E+1	0.0000E+0
2.0001E+2	4.8139E+0	0.0000E+0	0.0000E+0	4.5297E+1	0.0000E+0
-6.6868E-6	1.4593E+1	0.0000E+0	0.0000E+0	6.6484E+1	0.0000E+0
