%02.11.15 14:48:16
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	0.0000E+0	1.0636E-9	-6.8559E-10	7.6563E-1	0.0000E+0
1.0950E+1	0.0000E+0	2.7208E-9	-1.6038E-9	4.2812E+0	0.0000E+0
2.0900E+1	0.0000E+0	2.7178E-9	-2.1318E-9	6.3906E+0	0.0000E+0
3.0850E+1	0.0000E+0	2.7888E-9	-2.5003E-9	9.9062E+0	0.0000E+0
4.0800E+1	0.0000E+0	3.0666E-9	-2.7935E-9	1.2000E+1	0.0000E+0
5.0750E+1	0.0000E+0	3.7932E-9	-3.0482E-9	1.4109E+1	0.0000E+0
6.0700E+1	0.0000E+0	3.7118E-9	-3.2637E-9	1.6219E+1	0.0000E+0
7.0650E+1	0.0000E+0	4.3142E-9	-3.4472E-9	1.8312E+1	0.0000E+0
8.0600E+1	0.0000E+0	4.8361E-9	-3.6225E-9	2.0406E+1	0.0000E+0
9.0550E+1	0.0000E+0	5.2302E-9	-3.7748E-9	2.2516E+1	0.0000E+0
1.0050E+2	0.0000E+0	5.6315E-9	-3.9112E-9	2.4625E+1	0.0000E+0
1.1045E+2	0.0000E+0	5.5920E-9	-4.0311E-9	2.6734E+1	0.0000E+0
1.2040E+2	0.0000E+0	7.0066E-9	-4.1003E-9	2.8844E+1	0.0000E+0
1.3035E+2	0.0000E+0	6.2013E-9	-4.1364E-9	3.0937E+1	0.0000E+0
1.4030E+2	0.0000E+0	6.1254E-9	-4.1558E-9	3.3047E+1	0.0000E+0
1.5025E+2	0.0000E+0	7.0711E-9	-4.1706E-9	3.5141E+1	0.0000E+0
1.6020E+2	0.0000E+0	5.7236E-9	-4.1799E-9	3.7234E+1	0.0000E+0
1.7015E+2	0.0000E+0	6.6414E-9	-4.1881E-9	3.9344E+1	0.0000E+0
1.8010E+2	0.0000E+0	7.2034E-9	-4.1908E-9	4.1453E+1	0.0000E+0
1.9005E+2	0.0000E+0	6.8301E-9	-4.1937E-9	4.3547E+1	0.0000E+0
2.0000E+2	0.0000E+0	6.5712E-9	-4.2005E-9	4.5641E+1	0.0000E+0
0.0000E+0	0.0000E+0	-9.9658E-10	-8.2076E-9	6.6734E+1	0.0000E+0
